lon_west,lat_south,lon_east,lat_north,area_ha,forest_share,mean_treecover_pct,loss_share_2001_2019_pct,loss_years_2001_2019,recent_loss_2017_2019_pct,peak_year_loss_pct,future_loss_2020_2024_pct,label,tile
35.6899,56.92973,35.7539,56.96973,1788.08,0.5254,70.79,12.0206,15,1.7819,1.9609,0.2866,0,60N_030E
34.44884,55.0207,34.51284,55.0607,1877.85,0.6759,82.28,3.4435,5,0.5141,1.3711,0.0166,0,60N_030E
35.31371,54.7403,35.37771,54.7803,1890.85,0.5942,81.58,0.4382,1,0.1208,0.1019,0.0,0,60N_030E
39.61973,58.09962,39.68373,58.13962,1732.02,0.8533,83.2,0.971,3,0.1066,0.3386,0.0166,0,60N_030E
34.65687,57.38891,34.72087,57.42891,1766.17,0.8339,82.91,1.6158,3,0.0521,0.7155,0.3931,0,60N_030E
35.13611,56.88526,35.20011,56.92526,1790.18,0.7828,75.51,8.4371,10,2.9619,2.5258,0.424,0,60N_030E
30.46285,54.70957,30.52685,54.74957,1892.27,0.796,82.19,5.9713,14,1.279,0.9355,0.8337,0,60N_030E
38.84042,56.05318,38.90442,56.09318,1829.56,0.7139,79.44,4.1241,12,0.5852,0.5353,0.0521,0,60N_030E
38.86442,58.20552,38.92842,58.24552,1726.9,0.8349,85.23,0.2511,0,0.0213,0.0734,0.4287,0,60N_030E
30.44945,55.32976,30.51345,55.36976,1863.45,0.3724,74.47,0.8879,3,0.2818,0.2912,0.7955,0,60N_030E
36.39175,58.33082,36.45575,58.37082,1720.85,0.5276,78.47,5.4677,4,0.0948,4.0397,0.0403,0,60N_030E
31.99353,55.34998,32.05753,55.38998,1862.52,0.9374,85.05,1.6751,4,1.059,0.6325,0.3128,0,60N_030E
35.38503,58.03524,35.44903,58.07524,1735.13,0.7341,82.72,5.2017,6,0.0332,1.928,4.9214,1,60N_030E
30.2711,57.37152,30.3351,57.41152,1766.99,0.5207,75.0,1.4164,3,0.0071,0.8172,0.0568,0,60N_030E
33.4352,57.44292,33.4992,57.48292,1763.58,0.7048,84.12,1.8072,5,0.5022,0.7201,1.0708,1,60N_030E
33.2672,53.3954,33.3312,53.4354,1952.57,0.717,79.61,4.4647,9,0.0545,0.8646,0.0118,0,60N_030E
31.38851,52.58978,31.45251,52.62978,1989.0,0.7163,78.51,1.5985,5,0.1113,0.3789,0.7013,0,60N_030E
32.11012,53.69488,32.17412,53.73488,1938.92,0.3738,74.45,4.7461,13,0.5497,0.9691,3.6324,1,60N_030E
32.23717,59.61166,32.30117,59.65166,1658.46,0.6087,81.73,26.7247,7,0.3505,22.9951,0.0024,0,60N_030E
33.00182,54.36714,33.06582,54.40714,1908.09,0.7059,76.94,4.0937,6,0.0,1.4144,0.0,0,60N_030E
35.23572,53.91348,35.29972,53.95348,1928.93,0.8242,85.83,1.8218,3,0.4098,1.0899,1.4666,1,60N_030E
35.19042,57.46683,35.25442,57.50683,1762.43,0.8979,80.17,1.8948,5,0.0545,0.4665,0.0403,0,60N_030E
31.66997,55.54615,31.73397,55.58615,1853.35,0.9412,82.58,0.2511,1,0.0071,0.18,0.0,0,60N_030E
31.76837,55.31261,31.83237,55.35261,1864.26,0.7412,81.68,1.3171,3,0.1042,0.2724,0.0805,0,60N_030E
33.22386,57.87828,33.28786,57.91828,1742.68,0.8785,85.21,0.6371,1,0.1374,0.27,0.0474,0,60N_030E
38.60131,59.34598,38.66531,59.38598,1671.48,0.4049,83.43,0.1848,0,0.0545,0.0663,0.154,0,60N_030E
34.08252,56.09598,34.14652,56.13598,1827.55,0.7193,84.62,0.1231,0,0.0,0.045,0.0,0,60N_030E
31.80806,57.0031,31.87206,57.0431,1784.58,0.6346,81.77,2.2345,4,0.0569,0.8507,4.0648,1,60N_030E
37.61922,54.28232,37.68322,54.32232,1911.99,0.5322,78.47,1.5657,4,0.0047,0.9285,0.0,0,60N_030E
33.26765,57.44714,33.33165,57.48714,1763.38,0.4374,82.2,0.2013,0,0.0,0.0782,0.3387,0,60N_030E
37.35533,57.84139,37.41933,57.88139,1744.46,0.5767,80.3,0.5946,0,0.0355,0.0924,0.0,0,60N_030E
30.26688,51.37038,30.33088,51.41038,2043.37,0.9254,80.21,2.9368,5,2.2002,1.7431,2.7658,1,60N_030E
34.89852,54.31601,34.96252,54.35601,1910.44,0.4617,78.96,1.1273,3,0.0947,0.2392,0.3197,0,60N_030E
31.8243,59.09904,31.8883,59.13904,1683.53,0.7096,73.54,0.09,0,0.0,0.0403,0.0237,0,60N_030E
30.89438,53.4482,30.95838,53.4882,1950.17,0.6014,79.15,7.5648,14,3.8013,1.5655,4.6397,1,60N_030E
39.39227,57.30783,39.45627,57.34783,1770.04,0.469,78.5,0.765,3,0.0,0.1729,0.0166,0,60N_030E
33.14001,58.45439,33.20401,58.49439,1714.87,0.9445,79.71,9.2694,16,1.3408,1.4595,0.7104,0,60N_030E
38.99,55.11379,39.054,55.15379,1873.52,0.3293,81.43,0.5212,1,0.0,0.1208,0.0,0,60N_030E
37.99977,58.68891,38.06377,58.72891,1703.5,0.6208,68.12,0.0663,0,0.0071,0.0332,0.0,0,60N_030E
36.43533,57.59814,36.49933,57.63814,1756.14,0.9498,82.04,2.4975,9,0.6991,0.6587,1.3128,1,60N_030E
32.23337,58.49442,32.29737,58.53442,1712.93,0.7415,69.49,1.5659,5,0.3081,0.3695,0.8998,0,60N_030E
34.05668,58.88992,34.12068,58.92992,1693.73,0.9569,78.11,6.5496,11,2.1037,1.419,1.3665,1,60N_030E
32.13941,53.21955,32.20341,53.25955,1960.55,0.8193,78.45,19.157,16,3.2195,2.4284,3.4915,1,60N_030E
30.53552,55.6386,30.59952,55.6786,1849.02,0.8426,78.16,3.3474,6,0.3814,1.5443,1.9117,1,60N_030E
30.77296,56.652,30.83696,56.692,1801.26,0.8694,83.4,2.0417,7,0.0047,0.514,0.0166,0,60N_030E
34.89201,54.24549,34.95601,54.28549,1913.69,0.471,78.17,0.0947,0,0.0,0.0758,0.0284,0,60N_030E
32.67288,53.09267,32.73688,53.13267,1966.31,0.8624,77.4,18.5726,19,1.194,2.1768,1.5705,1,60N_030E
38.71589,59.19359,38.77989,59.23359,1678.92,0.6243,82.47,1.1936,3,0.1255,0.2983,0.9289,0,60N_030E
32.39312,56.25546,32.45712,56.29546,1820.03,0.6507,80.12,8.7723,15,1.9378,1.1917,0.6492,0,60N_030E
33.82117,54.55521,33.88517,54.59521,1899.42,0.8028,78.59,1.0613,3,0.4904,0.4454,0.8719,0,60N_030E
32.08458,57.09825,32.14858,57.13825,1780.04,0.9552,84.3,1.3363,4,0.0095,0.6088,7.5439,1,60N_030E
34.81719,54.42279,34.88119,54.46279,1905.52,0.6269,80.62,3.0863,7,1.7171,0.7958,0.9783,0,60N_030E
38.57701,57.54194,38.64101,57.58194,1758.84,0.8918,83.09,1.67,5,0.0047,0.5423,2.6516,1,60N_030E
32.37172,54.04162,32.43572,54.08162,1923.05,0.337,76.15,0.8765,2,0.0,0.2511,0.0,0,60N_030E
34.8348,58.34413,34.8988,58.38413,1720.21,0.9035,84.87,6.6039,15,0.5283,1.1107,0.2321,0,60N_030E
39.27008,59.08993,39.33408,59.12993,1683.98,0.8703,84.2,17.821,17,3.6793,4.0717,2.8575,1,60N_030E
38.38,54.90999,38.444,54.94999,1882.99,0.5978,80.68,0.1587,0,0.0213,0.0569,0.0,0,60N_030E
34.71248,54.08631,34.77648,54.12631,1921.0,0.5518,83.26,1.3263,5,0.4215,0.2865,0.0213,0,60N_030E
30.48895,54.71387,30.55295,54.75387,1892.08,0.7615,83.0,9.2014,16,1.1891,1.3761,2.5177,1,60N_030E
32.09567,52.65287,32.15967,52.69287,1986.16,0.4095,70.3,5.2153,9,0.668,1.3569,0.668,0,60N_030E
30.54331,51.38938,30.60731,51.42938,2042.53,0.3699,63.46,5.9805,11,2.7618,1.2293,4.3275,1,60N_030E
33.02621,56.05551,33.09021,56.09551,1829.44,0.8433,79.98,6.3176,10,1.5848,1.3455,2.6415,1,60N_030E
32.67891,53.17674,32.74291,53.21674,1962.5,0.8227,76.02,6.088,14,0.0213,1.0236,0.0,0,60N_030E
35.57234,57.62666,35.63634,57.66666,1754.78,0.6861,77.23,8.6601,14,1.7341,1.3551,2.3015,1,60N_030E
30.49672,55.32862,30.56072,55.36862,1863.51,0.4557,81.0,1.4311,5,0.1848,0.4383,0.5591,0,60N_030E
35.2993,58.97855,35.3633,59.01855,1689.41,0.8608,76.9,9.4524,14,2.6338,1.4501,1.1394,1,60N_030E
39.27274,57.53735,39.33674,57.57735,1759.05,0.6937,81.45,2.4374,7,0.0,0.9665,3.666,1,60N_030E
31.22584,53.75566,31.28984,53.79566,1936.15,0.5296,78.92,5.6774,14,1.253,0.7319,0.8648,0,60N_030E
34.76488,53.34778,34.82888,53.38778,1954.73,0.831,79.81,2.819,7,1.1987,0.822,0.3648,0,60N_030E
37.90418,51.28584,37.96818,51.32584,2047.1,0.3189,75.07,0.4241,2,0.1066,0.1754,0.0142,0,60N_030E
33.84555,56.04413,33.90955,56.08413,1829.98,0.9408,86.01,2.8529,5,0.5923,1.1303,1.0497,1,60N_030E
30.64897,58.66359,30.71297,58.70359,1704.73,0.5845,83.44,1.4136,5,0.3291,0.3078,0.4001,0,60N_030E
34.73958,53.15356,34.80358,53.19356,1963.55,0.9338,80.58,13.9616,18,2.3073,2.3735,3.8583,1,60N_030E
34.59952,58.5744,34.66352,58.6144,1709.06,0.7934,77.6,1.1319,3,0.064,0.3836,0.09,0,60N_030E
35.31924,53.29146,35.38324,53.33146,1957.3,0.9688,81.2,1.0518,3,0.0047,0.308,0.0,0,60N_030E
34.57918,57.5201,34.64318,57.5601,1759.88,0.8819,79.16,4.3679,12,0.8124,0.7722,0.3861,0,60N_030E
39.05992,57.1302,39.12392,57.1702,1778.53,0.6987,81.58,6.371,9,1.329,1.41,2.746,1,60N_030E
35.82711,56.56784,35.89111,56.60784,1805.25,0.6663,83.62,10.8914,14,0.1421,1.7786,0.2439,0,60N_030E
31.6699,59.069,31.7339,59.109,1685.01,0.8035,83.61,0.8006,2,0.0355,0.2559,0.0,0,60N_030E
33.01297,54.20973,33.07697,54.24973,1915.34,0.7401,83.16,3.78,4,1.3261,1.3572,3.7063,1,60N_030E
31.01371,57.98995,31.07771,58.02995,1737.31,0.9185,84.95,6.3695,17,0.3647,0.8669,0.5687,0,60N_030E
32.47305,54.99543,32.53705,55.03543,1879.03,0.6816,82.06,1.0636,4,0.0521,0.2227,0.9616,0,60N_030E
37.21344,58.47944,37.27744,58.51944,1713.66,0.4468,81.59,0.7768,3,0.045,0.1989,1.289,1,60N_030E
38.12525,56.48809,38.18925,56.52809,1809.03,0.3566,83.54,0.2298,0,0.0426,0.0995,0.0,0,60N_030E
34.69045,57.75632,34.75445,57.79632,1748.55,0.6357,81.81,2.8425,4,1.7742,1.6178,2.1505,1,60N_030E
32.15477,55.27261,32.21877,55.31261,1866.12,0.8527,83.06,5.9803,10,2.4156,1.2344,3.6641,1,60N_030E
37.94844,56.10451,38.01244,56.14451,1827.14,0.4134,76.52,3.9352,9,1.3909,0.8362,0.1208,0,60N_030E
32.69416,57.00708,32.75816,57.04708,1784.39,0.5974,85.54,0.1113,0,0.0095,0.0261,0.09,0,60N_030E
30.63692,55.55007,30.70092,55.59007,1853.17,0.898,81.64,7.9963,16,2.3521,1.3237,3.8989,1,60N_030E
36.19705,59.74202,36.26105,59.78202,1652.05,0.9215,83.08,7.388,10,0.1611,1.7663,3.2353,1,60N_030E
